sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
33,149,Yellow billed Cuckoo,Brown Thrasher,0.2388454714475934,6.025494906715392e-08,3,12,17,0.23884541149264252,0.23884552538233297,0.0,3963848.800745059,"a large, hawk-like body",62
40,29,Olive sided Flycatcher,American Crow,0.08646483365763213,0.0009577765319395814,6,10,19,0.08584656251194034,0.08770131784304047,0.0,90.27662579313427,"a large, hawk-like body",62
40,32,Olive sided Flycatcher,Mangrove Cuckoo,0.05321120901208235,0.01201101182164232,9,10,12,0.045203793954035065,0.06922589144071178,0.0,4.430202034417475,"a large, hawk-like body",62
40,33,Olive sided Flycatcher,Yellow billed Cuckoo,0.007691422928482535,0.0058415727753014296,12,10,17,0.00344894758623282,0.015593794951996531,0.0,1.3166698803592294,"a large, hawk-like body",62
40,72,Olive sided Flycatcher,Pomarine Jaeger,0.14327202641315728,0.009424021617117797,3,10,18,0.1348413561796639,0.15265237143624913,0.0,15.20285417615289,"a large, hawk-like body",62
40,108,Olive sided Flycatcher,White necked Raven,0.0065697488071963335,0.0020362584934939137,6,10,18,0.00394095039673481,0.007884205230049401,0.0,3.226382517230044,"a large, hawk-like body",62
40,110,Olive sided Flycatcher,Geococcyx,0.03920125165610081,2.9142144424954633e-08,3,10,20,0.039201225312814364,0.03920128047509196,0.0,1345127.7283083305,"a large, hawk-like body",62
40,149,Olive sided Flycatcher,Brown Thrasher,0.2257381312475404,0.01189421500772649,6,10,17,0.21160199301669358,0.23799923755244412,0.0,18.978817104106657,"a large, hawk-like body",62
40,190,Olive sided Flycatcher,Red cockaded Woodpecker,0.09675089841535645,0.009665295457697877,6,10,15,0.085172650636682,0.10656873849443194,0.0,10.01013355761303,"a large, hawk-like body",62
59,29,California Gull,American Crow,0.11455963011503105,0.0009577615286887703,6,10,19,0.11332316529828113,0.115177862523406,0.0,119.61185176466402,"a large, hawk-like body",62
59,32,California Gull,Mangrove Cuckoo,0.2542356727847455,0.013869138590555918,3,10,12,0.24622828157443116,0.26904927418677405,0.0,18.331035565506156,"a large, hawk-like body",62
59,40,California Gull,Olive sided Flycatcher,0.20102446377266317,3.354750045618039e-08,3,10,20,0.2010244279406451,0.2010244831413216,0.0,5992055.115406207,"a large, hawk-like body",62
59,72,California Gull,Pomarine Jaeger,0.3442964901858205,0.00803680652466782,12,10,18,0.33548092322755696,0.3542293022337767,0.0,42.839962500803274,"a large, hawk-like body",62
59,108,California Gull,White necked Raven,0.20759421257985952,0.002276589431311826,3,10,18,0.2051625905579599,0.20890862744893227,0.0,91.18649574378996,"a large, hawk-like body",62
59,110,California Gull,Geococcyx,0.16182321211656236,4.24907080146368e-08,3,10,20,0.16182317752705463,0.16182325615842383,0.0,3808348.0207672594,"a large, hawk-like body",62
59,137,California Gull,Cliff Swallow,0.030343582481947684,5.386810757067768e-09,3,10,20,0.030343579371871043,0.03034358823558947,0.0,5631894.63218298,"a large, hawk-like body",62
