sid_A,sid_B,concept_idx,concept,shift_B_fwd,shift_A_fwd,shift_A_bwd,shift_B_bwd,leakage_fwd,leakage_bwd,leakage_sym,n_A,n_B,part
3,8,0,beak_0,-1.114015049097361e-07,-0.00011761784844566137,-1.2243310365533944e-08,0.0002012729673879221,0.00011750644694075163,-0.00020128521069828764,-4.1889381878768006e-05,10,10,beak
3,10,0,beak_0,-1.4194762698593877e-08,-2.6106833956873743e-06,-9.612453194529635e-11,2.403259350103326e-05,2.5964886329887804e-06,-2.4032689625565207e-05,-1.0718100496288213e-05,10,10,beak
3,17,0,beak_0,-1.8134960200200112e-08,1.7410517102689482e-05,1.3569933621226937e-08,-1.614689790585544e-05,-1.7428652062889682e-05,1.6160467839476667e-05,-6.340921117065079e-07,10,10,beak
3,18,0,beak_0,-9.40721802180633e-05,-0.0068966420367360115,2.5810639272094704e-05,0.08418048918247223,0.006802569856517948,-0.08415467854320013,-0.03867605434334109,10,10,beak
3,21,0,beak_0,-2.1285452476149658e-06,-0.004852977581322193,-2.4621204630648208e-08,0.015698974952101707,0.004850849036074578,-0.015698999573306338,-0.00542407526861588,10,10,beak
3,24,0,beak_0,1.0012167095396762e-08,-0.0002184093027608469,1.051017717301761e-09,-0.00022118091874290258,0.0002184193149279423,0.00022118196976061988,0.0002198006423442811,10,10,beak
3,25,0,beak_0,1.4331760223029733e-09,-0.00020883380784653127,1.962962459245432e-09,0.00027921199216507375,0.00020883524102255357,-0.0002792100292026145,-3.5187394090030466e-05,10,10,beak
3,26,0,beak_0,1.2663718684802205e-10,1.5655159586458467e-05,2.1077539713587612e-10,-4.839896973862778e-06,-1.565503294927162e-05,4.840107749259914e-06,-5.407462600005852e-06,10,10,beak
3,27,0,beak_0,3.415753013769063e-08,-8.642971806693822e-05,4.949424869948871e-09,-2.104640043398831e-05,8.646387559707591e-05,2.105134985885826e-05,5.3757612727967086e-05,10,10,beak
3,29,0,beak_0,1.0888287533816765e-06,-0.0026724368799477816,7.464248596988909e-07,0.002559161279350519,0.0026735257087011632,-0.0025584148544908203,5.7555427105171475e-05,10,10,beak
3,30,0,beak_0,-1.317061997657687e-11,-6.860494522697991e-06,-3.2368063090926213e-11,6.300210770859849e-06,6.860481352078014e-06,-6.30024313892294e-06,2.801191065775373e-07,10,10,beak
3,38,0,beak_0,-4.551766323857009e-06,-0.0015908569330349565,-2.1059688606328564e-06,0.004557013511657715,0.0015863051667110994,-0.004559119480518348,-0.0014864071569036241,10,10,beak
3,39,0,beak_0,3.4872863352575223e-07,1.4966726666898467e-05,9.44710336625576e-07,-0.00020186901383567601,-1.4617998033372714e-05,0.0002028137241723016,9.409786306946444e-05,10,10,beak
3,46,0,beak_0,-2.8956037567695603e-08,-0.0010509997373446822,-5.769902777785774e-09,0.0013151898747310042,0.0010509707813071145,-0.001315195644633782,-0.00013211243166333375,10,10,beak
3,48,0,beak_0,-7.025880766065029e-09,-0.0011528104078024626,2.83037309145584e-07,0.006804865784943104,0.0011528033819216965,-0.006804582747633958,-0.002825889682856131,10,10,beak
8,10,0,beak_0,-4.740877468378812e-09,0.0001904547243611887,-1.4697059569357407e-08,-0.00029506682767532766,-0.0001904594652386571,0.0002950521306157583,5.2296332688550606e-05,10,10,beak
8,17,0,beak_0,3.162796136102486e-10,0.0002259135217173025,7.438484495025932e-09,-0.0001368939847452566,-0.0002259132054376889,0.00013690142322975163,-4.450589110396863e-05,10,10,beak
8,18,0,beak_0,-5.863057594979182e-09,-0.013971167616546154,6.55277199257398e-06,0.08204631507396698,0.013971161753488559,-0.0820397623019744,-0.034034300274242923,10,10,beak
8,21,0,beak_0,1.4932766134734266e-08,-0.009997522458434105,4.2789643828200497e-08,0.015525293536484241,0.00999753739120024,-0.015525250746840413,-0.002763856677820087,10,10,beak
8,24,0,beak_0,2.6806810993207364e-08,-0.000176161527633667,3.883214816369218e-08,0.00014669894881080836,0.0001761883344446602,-0.00014666011666264467,1.4764108891007766e-05,10,10,beak
8,25,0,beak_0,5.015398983232444e-06,-0.0001619696558918804,1.986481947824359e-06,0.000144207471748814,0.00016698505487511284,-0.00014222098980098963,1.2382032537061605e-05,10,10,beak
