sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
10,44,3,6,1.1169468816518702e-07,0.003156006336212158,-0.433503258228302,0.00044619011846407374,,5.584734408259351e-08,tail
10,47,3,8,2.7536794997073955e-05,-0.029298019409179688,-0.5785692691802978,0.45222443039529026,,1.3768397498536978e-05,tail
11,15,5,3,5.0239252672668044e-05,-0.48390514850616456,-0.7601181268692017,0.6106314077042043,,2.5119626336334022e-05,tail
11,22,5,1,0.0006254298330986785,-0.5541502833366394,-0.8285884618759155,0.16984283371130005,,0.00031271491654933926,tail
11,25,5,3,0.07609763210639357,-0.48390514850616456,-0.7601181268692017,0.6106314077042043,,0.038048816053196786,tail
11,28,5,0,8.228603199427198e-05,-0.6717686772346496,-0.8601998209953308,0.8087125100195408,,4.114301599713599e-05,tail
11,34,5,2,4.81631969364571e-05,-0.5188966393470764,-0.8104418754577637,0.00024344732796066637,,2.408159846822855e-05,tail
11,45,5,6,0.1985449273051927,-0.5606643199920655,-0.8300429940223694,0.5022142904694192,,0.09927246365259634,tail
11,49,5,3,0.20753781499806792,-0.48390514850616456,-0.7601181268692017,0.6106314077042043,,0.10376890749903396,tail
12,21,8,3,2.5238234664470836e-05,-0.23002216815948487,-0.7348259925842285,0.22372628932353109,,1.2619117332235418e-05,tail
12,49,8,3,0.0017127678762335562,-0.23002216815948487,-0.7348259925842285,0.22372628932353109,,0.0008563839381167781,tail
13,17,8,2,0.001419304101727903,-0.9113703489303588,-0.9741644382476806,0.8705316245555877,,0.0007096520508639515,tail
13,27,8,3,0.3576421151868999,-0.8161455035209656,-0.9735127806663513,0.8137837067246437,,0.17882105759344996,tail
14,19,6,4,1.299065090734075e-05,-0.030529892444610594,-0.44276289641857147,0.5795030951499939,,6.495325453670375e-06,tail
14,22,6,1,6.533070139624897e-06,-0.050460100173950195,-0.4517781764268875,0.16997792473266599,,3.2665350698124486e-06,tail
14,23,6,5,0.0003293860883786692,-0.27382640838623046,-0.6176074832677841,0.4732765855267644,,0.0001646930441893346,tail
14,27,6,3,1.6582994066993707e-05,-0.04502581357955933,-0.652123150229454,0.0004218016537834046,,8.291497033496853e-06,tail
14,29,6,1,0.00022077336666370684,-0.050460100173950195,-0.4517781764268875,0.16997792473266599,,0.00011038668333185342,tail
14,34,6,2,0.0001252515230589779,-0.01901106834411621,-0.5980738252401352,0.0045357477778452445,,6.262576152948895e-05,tail
14,48,6,5,0.00043721732236008394,-0.27382640838623046,-0.6176074832677841,0.4732765855267644,,0.00021860866118004197,tail
15,20,3,1,1.4639095979873673e-07,7.784366607666015e-06,-0.05366702079772949,0.14379781315801665,,7.319547989936837e-08,tail
15,47,3,8,0.026367404123811868,-0.07840763330459595,-0.6047368168830871,0.591406573727727,,0.013183702061905934,tail
16,23,7,5,0.00011571799572394071,-0.19937534332275392,-0.6941211938858032,0.706179505866021,,5.7858997861970354e-05,tail
