species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
23,funnybird_23,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
2,funnybird_02,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
3,funnybird_03,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
4,funnybird_04,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
5,funnybird_05,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
6,funnybird_06,10,0,1,10,0.0,0,,0.0,,,,,100,beak_3,baseline
7,funnybird_07,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline
8,funnybird_08,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
9,funnybird_09,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline
10,funnybird_10,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
11,funnybird_11,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline
12,funnybird_12,10,10,9,0,1.0,9,0.9,1.0,0.9020000000000001,0.7,1.0,0.30000000000000004,100,beak_3,baseline
13,funnybird_13,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
14,funnybird_14,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
15,funnybird_15,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
16,funnybird_16,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
17,funnybird_17,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
18,funnybird_18,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
19,funnybird_19,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
20,funnybird_20,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline
21,funnybird_21,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
22,funnybird_22,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline
49,funnybird_49,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline
0,funnybird_00,10,0,0,10,0.0,0,,,,,,,100,beak_0,baseline
37,funnybird_37,10,0,0,10,0.0,0,,,,,,,100,beak_0,baseline
27,funnybird_27,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_0,baseline
28,funnybird_28,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_0,baseline
29,funnybird_29,10,10,9,0,1.0,9,0.9,1.0,0.8860000000000001,0.7,1.0,0.30000000000000004,100,beak_0,baseline
30,funnybird_30,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_0,baseline
