species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
46,funnybird_46,10,10,9,0,1.0,9,0.9,1.0,0.9050000000000001,0.7,1.0,0.30000000000000004,100,tail_1,cbm
47,funnybird_47,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
48,funnybird_48,10,0,3,10,0.0,0,,0.0,,,,,100,tail_1,cbm
26,funnybird_26,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
25,funnybird_25,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
24,funnybird_24,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
23,funnybird_23,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
2,funnybird_02,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
3,funnybird_03,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,cbm
4,funnybird_04,10,10,9,0,1.0,9,0.9,1.0,0.9010000000000002,0.7,1.0,0.30000000000000004,100,tail_1,cbm
5,funnybird_05,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
6,funnybird_06,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
7,funnybird_07,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
8,funnybird_08,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
9,funnybird_09,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
10,funnybird_10,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
11,funnybird_11,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
12,funnybird_12,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
13,funnybird_13,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
14,funnybird_14,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
15,funnybird_15,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
16,funnybird_16,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
17,funnybird_17,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
18,funnybird_18,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
19,funnybird_19,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
20,funnybird_20,10,10,8,0,1.0,8,0.8,1.0,0.7840000000000003,0.5,1.0,0.5,100,tail_1,cbm
21,funnybird_21,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
22,funnybird_22,10,10,9,0,1.0,9,0.9,1.0,0.9010000000000001,0.7475,1.0,0.25249999999999995,100,tail_1,cbm
49,funnybird_49,10,0,0,10,0.0,0,,,,,,,100,tail_1,cbm
0,funnybird_00,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
37,funnybird_37,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
