species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
199,Winter Wren,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,cbm
175,Pine Warbler,30,4,6,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,cbm
174,Palm Warbler,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
173,Orange crowned Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
158,Bay breasted Warbler,30,4,18,26,0.13333333333333333,2,0.5,has_upper_tail_color::white,cbm
146,Forsters Tern,30,16,27,14,0.5333333333333333,15,0.9375,has_upper_tail_color::white,cbm
147,Least Tern,30,8,22,22,0.26666666666666666,6,0.75,has_upper_tail_color::white,cbm
148,Green tailed Towhee,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
150,Sage Thrasher,30,2,7,28,0.06666666666666667,2,1.0,has_upper_tail_color::white,cbm
152,Blue headed Vireo,30,0,4,30,0.0,0,,has_upper_tail_color::white,cbm
154,Red eyed Vireo,30,0,3,30,0.0,0,,has_upper_tail_color::white,cbm
155,Warbling Vireo,30,1,2,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
156,White eyed Vireo,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
159,Black and white Warbler,30,14,27,16,0.4666666666666667,14,1.0,has_upper_tail_color::white,cbm
172,Nashville Warbler,30,2,1,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
161,Blue winged Warbler,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
162,Canada Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
163,Cape May Warbler,30,2,3,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
164,Cerulean Warbler,30,5,8,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,cbm
165,Chestnut sided Warbler,30,3,16,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
167,Hooded Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
170,Mourning Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
171,Myrtle Warbler,30,2,11,28,0.06666666666666667,2,1.0,has_upper_tail_color::white,cbm
91,Mockingbird,30,2,9,28,0.06666666666666667,1,0.5,has_upper_tail_color::white,cbm
200,Common Yellowthroat,30,0,1,30,0.0,0,,has_upper_tail_color::white,cbm
89,Hooded Merganser,30,2,5,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
26,Bronzed Cowbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
61,Heermann Gull,30,10,16,20,0.3333333333333333,8,0.8,has_upper_tail_color::white,cbm
59,California Gull,30,12,27,18,0.4,12,1.0,has_upper_tail_color::white,cbm
25,Pelagic Cormorant,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
57,Rose breasted Grosbeak,30,5,16,25,0.16666666666666666,1,0.2,has_upper_tail_color::white,cbm
56,Pine Grosbeak,30,1,10,29,0.03333333333333333,1,1.0,has_upper_tail_color::white,cbm
55,Evening Grosbeak,30,5,13,25,0.16666666666666666,3,0.6,has_upper_tail_color::white,cbm
54,Blue Grosbeak,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
53,Western Grebe,30,2,20,28,0.06666666666666667,2,1.0,has_upper_tail_color::white,cbm
52,Pied billed Grebe,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,cbm
