species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
175,Pine Warbler,30,4,1,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
174,Palm Warbler,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
173,Orange crowned Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
158,Bay breasted Warbler,30,4,3,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,baseline
146,Forsters Tern,30,16,22,14,0.5333333333333333,11,0.6875,has_upper_tail_color::white,baseline
147,Least Tern,30,8,18,22,0.26666666666666666,5,0.625,has_upper_tail_color::white,baseline
148,Green tailed Towhee,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
150,Sage Thrasher,30,2,1,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
152,Blue headed Vireo,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
154,Red eyed Vireo,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
155,Warbling Vireo,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
156,White eyed Vireo,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
159,Black and white Warbler,30,14,13,16,0.4666666666666667,6,0.42857142857142855,has_upper_tail_color::white,baseline
172,Nashville Warbler,30,2,1,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
161,Blue winged Warbler,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
162,Canada Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
163,Cape May Warbler,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
164,Cerulean Warbler,30,5,0,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
165,Chestnut sided Warbler,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
167,Hooded Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
170,Mourning Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
171,Myrtle Warbler,30,2,1,28,0.06666666666666667,1,0.5,has_upper_tail_color::white,baseline
91,Mockingbird,30,2,1,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
200,Common Yellowthroat,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
89,Hooded Merganser,30,2,1,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
26,Bronzed Cowbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
