part,three_coordinate_subsets,mean_conditional_gain,min_conditional_gain,max_conditional_gain
beak,4,0.7750557936410631,0.7128519486399791,0.8425668696446262
eye,1,0.5145470477407925,0.5145470477407925,0.5145470477407925
foot,4,0.5448400933275565,0.5064197250052511,0.5973012253276662
tail,40,1.027871301295372,0.8812079761899101,1.183996978803688
wing,20,0.770999100836562,0.5811946937243064,0.9543662946621034
