part,coordinates,conditional_logloss_gain,gain_per_coordinate_descriptive
beak,4,0.9981001589436471,0.24952503973591178
eye,3,0.5145470477407925,0.17151568258026417
foot,4,0.713426144847263,0.17835653621181574
tail,9,1.4977056546689496,0.16641173940766107
wing,6,1.2424282613792352,0.2070713768965392
