part,selected_rows,eligible_rows,excluded_rows,median_z11,mean_z11,median_z01,mean_z01,median_z10,mean_z10,median_z00,mean_z00,median_part_response_with_context,mean_part_response_with_context,median_part_response_without_context,mean_part_response_without_context,median_context_evidence_with_part,mean_context_evidence_with_part,median_context_evidence_without_part,mean_context_evidence_without_part,median_interaction,mean_interaction,fraction_context_evidence_without_part_positive,fraction_part_response_with_context_positive
tail,25,20,5,5.040865421295166,4.79295562505722,0.26687201857566833,0.16960162967443465,4.679762601852417,3.5512780964374544,-5.014076471328735,-5.165440416336059,4.88981819152832,4.623353995382786,9.706779479980469,8.716718512773515,0.29799938201904297,1.2416775286197663,5.238579884171486,5.335042046010495,-3.955028861761093,-4.093364517390728,1.0,1.0
wing,25,25,0,4.706493377685547,4.8018592357635494,-1.3658738136291504,-1.734059065580368,6.458703994750977,6.225888767242432,-4.7277092933654785,-4.675347204208374,6.273792505264282,6.5359183013439175,10.76534366607666,10.901235971450806,-1.6768789291381836,-1.4240295314788818,3.2858044505119324,2.941288138628006,-4.167650938034058,-4.365317670106887,0.96,1.0
