species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
196,House Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
197,Marsh Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
198,Rock Wren,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
199,Winter Wren,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
175,Pine Warbler,30,23,29,7,0.7666666666666667,23,1.0,has_primary_color::yellow,cbm
174,Palm Warbler,30,17,20,13,0.5666666666666667,14,0.8235294117647058,has_primary_color::yellow,cbm
173,Orange crowned Warbler,30,14,25,16,0.4666666666666667,12,0.8571428571428571,has_primary_color::yellow,cbm
158,Bay breasted Warbler,30,0,5,30,0.0,0,,has_primary_color::yellow,cbm
146,Forsters Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
147,Least Tern,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
148,Green tailed Towhee,30,6,6,24,0.2,2,0.3333333333333333,has_primary_color::yellow,cbm
150,Sage Thrasher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
152,Blue headed Vireo,30,12,19,18,0.4,10,0.8333333333333334,has_primary_color::yellow,cbm
154,Red eyed Vireo,30,10,8,20,0.3333333333333333,4,0.4,has_primary_color::yellow,cbm
155,Warbling Vireo,30,3,8,27,0.1,3,1.0,has_primary_color::yellow,cbm
156,White eyed Vireo,30,18,25,12,0.6,16,0.8888888888888888,has_primary_color::yellow,cbm
159,Black and white Warbler,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
172,Nashville Warbler,30,24,27,6,0.8,21,0.875,has_primary_color::yellow,cbm
161,Blue winged Warbler,30,28,30,2,0.9333333333333333,28,1.0,has_primary_color::yellow,cbm
162,Canada Warbler,30,27,29,3,0.9,26,0.9629629629629629,has_primary_color::yellow,cbm
163,Cape May Warbler,30,27,27,3,0.9,24,0.8888888888888888,has_primary_color::yellow,cbm
164,Cerulean Warbler,30,2,1,28,0.06666666666666667,0,0.0,has_primary_color::yellow,cbm
165,Chestnut sided Warbler,30,12,16,18,0.4,9,0.75,has_primary_color::yellow,cbm
167,Hooded Warbler,30,27,30,3,0.9,27,1.0,has_primary_color::yellow,cbm
170,Mourning Warbler,30,20,24,10,0.6666666666666666,16,0.8,has_primary_color::yellow,cbm
171,Myrtle Warbler,30,9,11,21,0.3,3,0.3333333333333333,has_primary_color::yellow,cbm
91,Mockingbird,30,1,2,29,0.03333333333333333,1,1.0,has_primary_color::yellow,cbm
200,Common Yellowthroat,30,23,30,7,0.7666666666666667,23,1.0,has_primary_color::yellow,cbm
89,Hooded Merganser,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
26,Bronzed Cowbird,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
61,Heermann Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
59,California Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
25,Pelagic Cormorant,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
57,Rose breasted Grosbeak,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
56,Pine Grosbeak,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
55,Evening Grosbeak,30,20,26,10,0.6666666666666666,20,1.0,has_primary_color::yellow,cbm
54,Blue Grosbeak,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
53,Western Grebe,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
52,Pied billed Grebe,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
51,Horned Grebe,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
50,Eared Grebe,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
49,Boat tailed Grackle,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
48,European Goldfinch,30,12,4,18,0.4,2,0.16666666666666666,has_primary_color::yellow,cbm
47,American Goldfinch,30,28,30,2,0.9333333333333333,28,1.0,has_primary_color::yellow,cbm
63,Ivory Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
46,Gadwall,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
